,wikipedia,key,remote_ids,created,birth_date,name,latest_revision,last_modified,alternate_names,type,photos,revision,personal_name,death_date,source_records,id,bio,links,title,data,date,fuller_name,location,authors_key
4253,,/authors/OL9168452A,,"{'type': '/type/datetime', 'value': '2021-04-30T04:50:14.161749'}",,Thomas Herbert Warren,1.0,"{'type': '/type/datetime', 'value': '2021-04-30T04:50:14.161749'}",,{'key': '/type/author'},,1,,,['amazon:0342082302'],,,,,,,,,/authors/OL9168452A
4254,,/authors/OL7823455A,,"{'type': '/type/datetime', 'value': '2020-02-22T05:00:24.944989'}",,Plato,1.0,"{'type': '/type/datetime', 'value': '2020-02-22T05:00:24.944989'}",,{'key': '/type/author'},,1,Plato,,,,,,,,,,,/authors/OL7823455A
4255,,/authors/OL9281504A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:57:35.059700'}",,Faustine Croquison,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:57:35.059700'}",,{'key': '/type/author'},,1,,,['amazon:232217159X'],,,,,,,,,/authors/OL9281504A
4256,,/authors/OL9281504A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:57:35.059700'}",,Faustine Croquison,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:57:35.059700'}",,{'key': '/type/author'},,1,,,['amazon:232217159X'],,,,,,,,,/authors/OL9281504A
4257,,/authors/OL9281504A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:57:35.059700'}",,Faustine Croquison,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:57:35.059700'}",,{'key': '/type/author'},,1,,,['amazon:232217159X'],,,,,,,,,/authors/OL9281504A
4258,,/authors/OL6061635A,,"{'type': '/type/datetime', 'value': '2008-10-27T08:19:46.709519'}",,John Philip Wisser,,"{'type': '/type/datetime', 'value': '2008-10-27T08:19:46.709519'}",,{'key': '/type/author'},,1,,,,30692991.0,,,,,,,,/authors/OL6061635A
4259,,/authors/OL6042363A,,"{'type': '/type/datetime', 'value': '2008-10-27T05:48:10.766618'}",,Howard Malcom,,"{'type': '/type/datetime', 'value': '2008-10-27T05:48:10.766618'}",,{'key': '/type/author'},,1,,,,30634318.0,,,,,,,,/authors/OL6042363A
4260,,/authors/OL2988415A,,,,Mary Martha Sherwood,,"{'type': '/type/datetime', 'value': '2008-04-29 15:03:11.581851'}",,{'key': '/type/author'},,1,,,,11482965.0,,,,,,,,/authors/OL2988415A
4261,,/authors/OL2988415A,,,,Mary Martha Sherwood,,"{'type': '/type/datetime', 'value': '2008-04-29 15:03:11.581851'}",,{'key': '/type/author'},,1,,,,11482965.0,,,,,,,,/authors/OL2988415A
4262,,/authors/OL5014223A,,,,James Buckman,,"{'type': '/type/datetime', 'value': '2008-09-23 20:32:57.23091'}",,{'key': '/type/author'},,1,James Buckman,,,23529174.0,,,,,,,,/authors/OL5014223A
4263,,/authors/OL9281503A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:56:18.220296'}",,Henry V a Parsell,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:56:18.220296'}",,{'key': '/type/author'},,1,,,['amazon:0343758415'],,,,,,,,,/authors/OL9281503A
4264,,/authors/OL9281503A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:56:18.220296'}",,Henry V a Parsell,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:56:18.220296'}",,{'key': '/type/author'},,1,,,['amazon:0343758415'],,,,,,,,,/authors/OL9281503A
4265,,/authors/OL8487508A,,"{'type': '/type/datetime', 'value': '2020-09-17T01:21:39.070732'}",,Nathaniel Southgate Shaler,1.0,"{'type': '/type/datetime', 'value': '2020-09-17T01:21:39.070732'}",,{'key': '/type/author'},,1,,,,,,,,,,,,/authors/OL8487508A
4266,,/authors/OL9164755A,,"{'type': '/type/datetime', 'value': '2021-04-29T00:53:06.244821'}",,P. Tarbet Macaulay,1.0,"{'type': '/type/datetime', 'value': '2021-04-29T00:53:06.244821'}",,{'key': '/type/author'},,1,,,['amazon:0343530910'],,,,,,,,,/authors/OL9164755A
4267,,/authors/OL4523991A,,,,Thomas Arthur Rickard,,"{'type': '/type/datetime', 'value': '2008-09-11 10:08:47.160903'}",,{'key': '/type/author'},,1,Thomas Arthur Rickard,,,18856925.0,,,,,,,,/authors/OL4523991A
4268,,/authors/OL6036262A,,"{'type': '/type/datetime', 'value': '2008-10-27T04:55:32.463564'}",,Mary Tyler Peabody Mann,,"{'type': '/type/datetime', 'value': '2008-10-27T04:55:32.463564'}",,{'key': '/type/author'},,1,,,,30614604.0,,,,,,,,/authors/OL6036262A
4269,,/authors/OL7550433A,,"{'type': '/type/datetime', 'value': '2019-06-06T05:51:51.790419'}",,John Henry Jowett,1.0,"{'type': '/type/datetime', 'value': '2019-06-06T05:51:51.790419'}",,{'key': '/type/author'},,1,,,,,,,,,,,,/authors/OL7550433A
4270,,/authors/OL3152608A,,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}",,Andrew Lang,2.0,"{'type': '/type/datetime', 'value': '2011-02-07T08:39:19.675869'}",,{'key': '/type/author'},,2,,,,,,,,,,,,/authors/OL3152608A
4271,,/authors/OL3152608A,,"{'type': '/type/datetime', 'value': '2008-04-30T09:38:13.731961'}",,Andrew Lang,2.0,"{'type': '/type/datetime', 'value': '2011-02-07T08:39:19.675869'}",,{'key': '/type/author'},,2,,,,,,,,,,,,/authors/OL3152608A
4272,,/authors/OL8502690A,,"{'type': '/type/datetime', 'value': '2020-09-17T12:01:06.025879'}",,Arthur George H. Hollingsworth,1.0,"{'type': '/type/datetime', 'value': '2020-09-17T12:01:06.025879'}",,{'key': '/type/author'},,1,,,,,,,,,,,,/authors/OL8502690A
4273,,/authors/OL9234029A,,"{'type': '/type/datetime', 'value': '2021-05-22T04:04:06.614250'}",,Jules Cardot,1.0,"{'type': '/type/datetime', 'value': '2021-05-22T04:04:06.614250'}",,{'key': '/type/author'},,1,,,['amazon:0353474509'],,,,,,,,,/authors/OL9234029A
4274,,/authors/OL9281502A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:53:52.467178'}",,George Clayton (of New York.),1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:53:52.467178'}",,{'key': '/type/author'},,1,,,['amazon:0343295369'],,,,,,,,,/authors/OL9281502A
4275,,/authors/OL9281502A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:53:52.467178'}",,George Clayton (of New York.),1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:53:52.467178'}",,{'key': '/type/author'},,1,,,['amazon:0343295369'],,,,,,,,,/authors/OL9281502A
4276,,/authors/OL2567956A,,,,Charles Joppen,,"{'type': '/type/datetime', 'value': '2008-09-01 10:41:50.421844'}",,{'key': '/type/author'},,2,Charles Joppen,,,9657835.0,,,,,,,,/authors/OL2567956A
4277,,/authors/OL9164508A,,"{'type': '/type/datetime', 'value': '2021-04-28T23:08:00.565751'}",,Joseph Wild Davenport,1.0,"{'type': '/type/datetime', 'value': '2021-04-28T23:08:00.565751'}",,{'key': '/type/author'},,1,,,['amazon:0343151944'],,,,,,,,,/authors/OL9164508A
4278,,/authors/OL4337410A,,,,Hugh Blair,,"{'type': '/type/datetime', 'value': '2008-08-30 19:56:50.431386'}",,{'key': '/type/author'},,1,Hugh Blair,,,18078464.0,,,,,,,,/authors/OL4337410A
4279,,/authors/OL9281501A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:53:01.594760'}",,C. C. Farr,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:53:01.594760'}",,{'key': '/type/author'},,1,,,['amazon:0343125463'],,,,,,,,,/authors/OL9281501A
4280,,/authors/OL9281501A,,"{'type': '/type/datetime', 'value': '2021-06-23T11:53:01.594760'}",,C. C. Farr,1.0,"{'type': '/type/datetime', 'value': '2021-06-23T11:53:01.594760'}",,{'key': '/type/author'},,1,,,['amazon:0343125463'],,,,,,,,,/authors/OL9281501A
4281,,/authors/OL9162957A,,"{'type': '/type/datetime', 'value': '2021-04-28T08:45:06.042105'}",,D S. 1858-1940 Margoliouth,1.0,"{'type': '/type/datetime', 'value': '2021-04-28T08:45:06.042105'}",,{'key': '/type/author'},,1,,,['amazon:0342837435'],,,,,,,,,/authors/OL9162957A
4282,,/authors/OL9227567A,,"{'type': '/type/datetime', 'value': '2021-05-19T03:40:06.925421'}",,Henry Frederick Amedroz,1.0,"{'type': '/type/datetime', 'value': '2021-05-19T03:40:06.925421'}",,{'key': '/type/author'},,1,,,['amazon:0353084298'],,,,,,,,,/authors/OL9227567A
4283,,/authors/OL9119579A,,"{'type': '/type/datetime', 'value': '2021-03-15T21:22:33.547594'}",,Oscar Wilde,1.0,"{'type': '/type/datetime', 'value': '2021-03-15T21:22:33.547594'}",,{'key': '/type/author'},,1,,,['amazon:1528451635'],,,,,,,,,/authors/OL9119579A
4284,,/authors/OL9119579A,,"{'type': '/type/datetime', 'value': '2021-03-15T21:22:33.547594'}",,Oscar Wilde,1.0,"{'type': '/type/datetime', 'value': '2021-03-15T21:22:33.547594'}",,{'key': '/type/author'},,1,,,['amazon:1528451635'],,,,,,,,,/authors/OL9119579A
